Title,genres,spoken_languages,production_countries,byline,headline,keywords,word_count,snippet,web_url,pub_date,source
"‘Love, Antosha",nan,nan,nan,By Glenn Kenny,"‘Love, Antosha’ Review: A Heartbreaking Look at an Actor’s Too-Short Life","subject: Documentary Films and Programs;creative_works: Love, Antosha (Movie);persons: Price, Garret;persons: Yelchin, Anton;",319.0,"Anton Yelchin, who played Chekov in the J.J. Abrams-produced “Star Trek” films, assembled an eclectic filmography before his death at 27 in 2016.",https://www.nytimes.com/2019/08/08/movies/love-anthosa-review.html,2019-08-08T09:00:10+0000,The New York Times
‘Leto,nan,nan,nan,By Jeannette Catsoulis,‘Leto’ Review: Love and Rock in Leningrad,"subject: Music;creative_works: Leto (Movie);persons: Serebrennikov, Kirill S;",283.0,Kirill Serebrennikov’s gentle mood piece brings an underground music scene to vivid life.,https://www.nytimes.com/2019/06/06/movies/leto-review.html,2019-06-06T11:00:02+0000,The New York Times
‘The Tomorrow Man,nan,nan,nan,By Jeannette Catsoulis,‘The Tomorrow Man’ Review: Love Among the Neuroses,"subject: Movies;creative_works: The Tomorrow Man (Movie);persons: Danner, Blythe;persons: Lithgow, John;persons: Jones, Noble;",280.0,Blythe Danner and John Lithgow strain to elevate this twee late-life romance.,https://www.nytimes.com/2019/05/21/movies/the-tomorrow-man-review.html,2019-05-21T11:00:01+0000,The New York Times
‘Asako I & II,nan,nan,nan,By Glenn Kenny,‘Asako I & II’ Review: Double the Love (and the Heartbreak),"subject: Movies;creative_works: Asako I & II (Movie);persons: Hamaguchi, Ryusuke;",547.0,The Japanese director Ryusuke Hamaguchi follows up his marathon “Happy Hour” with a story of love among young urbanites.,https://www.nytimes.com/2019/05/16/movies/asako-i-and-ii-review.html,2019-05-16T11:00:01+0000,The New York Times
‘The Sun Is Also a Star,nan,nan,nan,By A.O. Scott,"‘The Sun Is Also a Star’ Review: A Charming, if Generic, Adolescent Love Story","subject: Movies;creative_works: The Sun Is also a Star (Movie);persons: Russo-Young, Ry;persons: Shahidi, Yara (2000- );persons: Yoon, Nicola (Author);persons: Melton, Charles (1991- );",697.0,"Yara Shahidi and Charles Melton play teenagers falling in love on a hectic, sunny day in New York.",https://www.nytimes.com/2019/05/15/movies/the-sun-is-also-a-star-review.html,2019-05-15T16:01:27+0000,The New York Times
‘Shéhérazade,nan,nan,nan,By Helen T. Verongos,‘Shéhérazade’ Review: Love in the Mean Streets of Marseille,"subject: Movies;organizations: Netflix Inc;creative_works: Sheherazade (Movie);persons: Marlin, Jean-Bernard;",350.0,The options are few and most of them involve risk or further deprivation for these French teenagers who face the world with little support.,https://www.nytimes.com/2019/05/10/movies/sheherazade-review.html,2019-05-10T11:00:01+0000,The New York Times
‘Long Shot,nan,nan,nan,By Manohla Dargis,‘Long Shot’ Review: Charlize Theron and Seth Rogen Give Good Heart,"subject: Movies;subject: Comedy and Humor;persons: Odenkirk, Bob;persons: Rogen, Seth;persons: Theron, Charlize;creative_works: Long Shot (Movie);persons: Levine, Jonathan A (1976- );",1025.0,The improbably yet perfectly paired stars play old friends who unexpectedly find love in this charming (and a bit vulgar) romantic comedy.,https://www.nytimes.com/2019/05/02/movies/long-shot-review.html,2019-05-02T17:43:25+0000,The New York Times
‘Clara,nan,nan,nan,By Ben Kenigsberg,‘Clara’ Review: Love Means Never Having to Say You’re Starry,"subject: Movies;creative_works: Clara (Movie);persons: Adams, Patrick J;persons: Esmer, Ennis (1978- );persons: Sherman, Akash;",256.0,A ruthless empiricist searching for life beyond Earth learns a thing or two about life on the planet.,https://www.nytimes.com/2019/05/02/movies/clara-review.html,2019-05-02T11:00:04+0000,The New York Times
‘Kalank,nan,nan,nan,By Rachel Saltz,‘Kalank’ Review: A Bollywood Love Story in the Shadow of Partition,"subject: Movies;creative_works: Kalank (Movie);persons: Varman, Abhishek;",479.0,Abhishek Varman’s maximalist melodrama delivers spectacle (some of it mind-numbing) but fails to tell a gripping story.,https://www.nytimes.com/2019/04/19/movies/kalank-review.html,2019-04-19T15:38:08+0000,The New York Times
‘Rafiki,nan,nan,nan,By Ben Kenigsberg,"‘Rafiki’ Review: Falling in Love, Illegally","subject: Movies;persons: Kahiu, Wanuri;creative_works: Rafiki (Movie);persons: Mugatsia, Samantha;persons: Munyiva, Sheila;",251.0,The story of a romance between two Kenyan women was shown at Cannes after being banned in Kenya.,https://www.nytimes.com/2019/04/18/movies/rafiki-review.html,2019-04-18T11:00:06+0000,The New York Times
‘Diane,nan,nan,nan,By Jeannette Catsoulis,"‘Diane’ Review: A Vibrant Tale of Love, Sisterhood and Decline","subject: Movies;creative_works: Diane (Movie);persons: Jones, Kent;persons: Place, Mary Kay;persons: Parsons, Estelle;persons: Martin, Andrea (1947- );",511.0,"Mary Kay Place is astonishing as a weary widow dealing with guilt, heartache and a diminishing circle of friends.",https://www.nytimes.com/2019/03/28/movies/diane-review.html,2019-03-28T11:00:01+0000,The New York Times
‘Five Feet Apart,nan,nan,nan,By Ben Kenigsberg,‘Five Feet Apart’ Review: Ailing Teenagers Live Dangerously for Love,"subject: Movies;creative_works: Five Feet Apart (Movie);persons: Baldoni, Justin;",258.0,Haley Lu Richardson and Cole Sprouse navigate the rules of attraction and of a hospital in this film about living with cystic fibrosis.,https://www.nytimes.com/2019/03/14/movies/five-feet-apart-review.html,2019-03-14T13:00:07+0000,The New York Times
‘Ash Is Purest White,nan,nan,nan,By A.O. Scott,‘Ash Is Purest White’ Review: Love Smolders and Crime Pays in a Changing China,subject: Movies;persons: Jia Zhang Ke;persons: Liao Fan (1974- );persons: Zhao Tao (1977- );creative_works: Ash Is Purest White (Movie);,911.0,"In Jia Zhangke’s enthralling new feature, Zhao Tao and Liao Fan portray an underworld power couple at the mercy of time and fate.",https://www.nytimes.com/2019/03/13/movies/ash-is-purest-white-review.html,2019-03-13T15:44:46+0000,The New York Times
‘Gloria Bell,nan,nan,nan,By Manohla Dargis,‘Gloria Bell’ Review: Love Is in the Air for a Transcendent Julianne Moore,"subject: Movies;creative_works: Gloria Bell (Movie);persons: Moore, Julianne;persons: Turturro, John;persons: Lelio, Sebastian;",991.0,The Chilean writer-director Sebastián Lelio finds a perfect partner in Moore for this fantastic remake of his 2013 movie “Gloria.”,https://www.nytimes.com/2019/03/07/movies/gloria-bell-review.html,2019-03-07T18:49:47+0000,The New York Times
‘Black Mother,nan,nan,nan,By Glenn Kenny,‘Black Mother’ Review: Exploring the Roots of Life Itself,"subject: Documentary Films and Programs;persons: Allah, Khalik (1985- );creative_works: Black Mother (Movie);",380.0,"In Khalik Allah’s poetic movie, the most prevalent perspective is not that of a documentarian, but of a filmmaker’s love.",https://www.nytimes.com/2019/03/06/movies/black-mother-review.html,2019-03-06T18:30:16+0000,The New York Times
‘The Hole in the Ground,nan,nan,nan,By Teo Bugbee,‘The Hole in the Ground’ Review: A Horror Film Is Suffocated by a Mother’s Love,"subject: Movies;creative_works: The Hole in the Ground (Movie);persons: Cronin, Lee (Film Director);",291.0,"Something strange is going on in the Irish countryside, and it’s not just the giant roiling pit of dirt.",https://www.nytimes.com/2019/02/28/movies/the-hole-in-the-ground-review.html,2019-02-28T12:00:09+0000,The New York Times
‘How to Train Your Dragon: The Hidden World,nan,nan,nan,By Ben Kenigsberg,‘How to Train Your Dragon: The Hidden World’ Review: A Series Scales Up,"subject: Movies;persons: DeBlois, Dean;persons: Baruchel, Jay;persons: ABRAHAM, F MURRAY;persons: Ferrera, America;creative_works: How to Train Your Dragon: The Hidden World (Movie);",531.0,The third in this franchise concerns the exigencies that poor Hiccup must face as the leader of Berk.,https://www.nytimes.com/2019/02/20/movies/how-to-train-your-dragon-hidden-world-review.html,2019-02-21T00:02:36+0000,The New York Times
‘A Tuba to Cuba,nan,nan,nan,By Jeannette Catsoulis,‘A Tuba to Cuba’ Review: A New Orleans Jazz Band Makes a Caribbean Connection,"subject: Documentary Films and Programs;creative_works: A Tuba to Cuba (Movie);persons: Herrington, TG;persons: Clinch, Danny;subject: Jazz;organizations: Preservation Hall Jazz Band;",267.0,This joyous documentary follows the Preservation Hall Jazz Band to Cuba for a celebration of musical history and common bonds.,https://www.nytimes.com/2019/02/14/movies/a-tuba-to-cuba-review.html,2019-02-14T12:00:01+0000,The New York Times
‘Fighting With My Family,nan,nan,nan,By Manohla Dargis,"‘Fighting With My Family’ Review: They Body Slam You, Your Mum and Dad. Lovingly.","subject: Movies;creative_works: Fighting with My Family (Movie);persons: Merchant, Stephen;persons: Pugh, Florence;persons: Johnson, Dwayne (1972- );persons: Headey, Lena;persons: Frost, Nick;persons: Vaughn, Vince;persons: Lowden, Jack (1990- );",759.0,"Dwayne Johnson helped produce this charming comedy about a family of professional wrestlers, their chops, drops and drama.",https://www.nytimes.com/2019/02/13/movies/fighting-with-my-family-review.html,2019-02-13T23:46:10+0000,The New York Times
‘Sorry Angel,nan,nan,nan,By Glenn Kenny,"‘Sorry Angel’ Review: A Love Affair Two Men Start, Knowing the End","subject: Movies;creative_works: Sorry Angel (Movie);persons: Honore, Christophe;",491.0,"Set in early 1990s Paris, Christophe Honoré’s new film presents us with a middle-aged, H.I.V.-stricken writer falling, wearily, for a bookish 20-something.",https://www.nytimes.com/2019/02/12/movies/sorry-angel-review.html,2019-02-12T21:46:52+0000,The New York Times
"‘Berlin, I Love You",nan,nan,nan,By Glenn Kenny,"‘Berlin, I Love You’ Review: Many Stories, Not Much Feeling","subject: Movies;creative_works: Berlin, I Love You (Movie);persons: Agron, Dianna;persons: Knightley, Keira;persons: Luna, Diego;persons: Mirren, Helen;persons: Rourke, Mickey;persons: Wilson, Luke;",227.0,"The once-divided nature of Berlin isn’t given much consideration in this film, part of the Cities of Love series.",https://www.nytimes.com/2019/02/07/movies/berlin-i-love-you-review.html,2019-02-07T12:00:01+0000,The New York Times
