Title,genres,spoken_languages,production_countries,byline,headline,keywords,word_count,snippet,web_url,pub_date,source
‘Thor: Love and Thunder,nan,nan,nan,By Manohla Dargis,‘Thor: Love and Thunder’ Review: A God’s Comic Twilight,"subject: Movies;organizations: Marvel Studios;persons: Bale, Christian;persons: Crowe, Russell;persons: Hemsworth, Chris;persons: Waititi, Taika;persons: Thompson, Tessa;persons: Portman, Natalie;",942.0,"The director Taika Waititi injects antic silliness, once again, into this Marvel franchise starring Chris Hemsworth, who swings a mighty hammer and flexes mightier muscles.",https://www.nytimes.com/2022/07/07/movies/thor-love-and-thunder-review.html,2022-07-07T18:26:10+0000,The New York Times
‘Both Sides of the Blade,nan,nan,nan,By A.O. Scott,‘Both Sides of the Blade’ Review: Who Do You Love?,"subject: Movies;persons: Denis, Claire;persons: Binoche, Juliette;persons: Lindon, Vincent;creative_works: Both Sides of the Blade (Movie);",649.0,"In the latest film from Claire Denis, Juliette Binoche plays a Parisian radio journalist in a romantic quandary.",https://www.nytimes.com/2022/07/07/movies/both-sides-of-the-blade-review.html,2022-07-07T11:00:07+0000,The New York Times
‘Fire of Love,nan,nan,nan,By A.O. Scott,‘Fire of Love’ Review: A Volcanic Romance,"subject: Documentary Films and Programs;subject: Volcanoes;creative_works: Fire of Love (Movie);subject: Content Type: Personal Profile;subject: Deaths (Fatalities);persons: Dosa, Sara;persons: Krafft, Maurice (1946-91);persons: Krafft, Katia (1942-91);",609.0,Sara Dosa’s new documentary chronicles the lives and deaths of the French scientists Katia and Maurice Krafft.,https://www.nytimes.com/2022/07/06/movies/fire-of-love-review.html,2022-07-06T11:00:06+0000,The New York Times
‘Love & Gelato,nan,nan,nan,By Teo Bugbee,"‘Love & Gelato’ Review: A Young Girl, Transfigured by Italy","subject: Movies;creative_works: Love & Gelato (Movie);persons: Camp, Brandon (1971- );",288.0,A mother’s final wish leads her daughter to retrace her Roman holiday in this lighthearted coming-of-age story.,https://www.nytimes.com/2022/06/22/movies/love-gelato-review.html,2022-06-23T03:06:01+0000,The New York Times
‘Stay Prayed Up,nan,nan,nan,By Glenn Kenny,‘Stay Prayed Up’ Review: Spreading the Gospel of Love,"subject: Documentary Films and Programs;subject: Gospel Music;creative_works: Stay Prayed Up (Movie);subject: Content Type: Personal Profile;persons: Perry, Lena Mae;organizations: Branchettes (Music Group);persons: Anderson, DL (Filmmaker);persons: Durning, Matthew;",330.0,"A new documentary about the gospel ensemble the Branchettes and its guiding light, Lena Mae Perry, is a plain-spoken tribute.",https://www.nytimes.com/2022/06/16/movies/stay-prayed-up-review.html,2022-06-16T11:00:08+0000,The New York Times
‘Benediction,nan,nan,nan,By A.O. Scott,"‘Benediction’ Review: A Poet’s Life, in Love and War","subject: Movies;persons: Davies, Terence;creative_works: Benediction (Movie);persons: Lowden, Jack (1990- );subject: Poetry and Poets;persons: Sassoon, Siegfried;",883.0,"Terence Davies’s latest film is a biography of Siegfried Sassoon, whose writing about World War I changed British literature.",https://www.nytimes.com/2022/06/02/movies/benediction-review.html,2022-06-02T11:00:06+0000,The New York Times
‘Dinner in America,nan,nan,nan,By Concepción de León,‘Dinner in America’ Review: A Punk-Rock Love Story,"subject: Movies;persons: Rehmeier, Adam;creative_works: Dinner in America (Book);",254.0,A rage-fueled rock singer on the run from the police meets and falls in love with a gullible young woman eager to escape her circumstances.,https://www.nytimes.com/2022/05/26/movies/dinner-in-america-review.html,2022-05-26T11:00:04+0000,The New York Times
‘In a New York Minute,nan,nan,nan,By Lisa Kennedy,‘In a New York Minute’ Review: Love or Freedom?,subject: Movies;creative_works: In A New York Minute (Movie);persons: Ximan Li;,299.0,This drama from Ximan Li teases time in telling the stories of three Chinese women living in a city that tempts promise but delivers frustration.,https://www.nytimes.com/2022/05/03/movies/in-a-new-york-minute-review.html,2022-05-03T21:05:25+0000,The New York Times
‘Anaïs in Love,nan,nan,nan,By Manohla Dargis,‘Anaïs in Love’ Review: Portrait of a Woman on the Run,"subject: Movies;persons: Bourgeois-Tacquet, Charline;creative_works: Anais in Love (Movie);",842.0,"A restless woman discovers herself in a seductive French romance that throws out the usual dusty script about women, desire and pleasure.",https://www.nytimes.com/2022/04/28/movies/anais-in-love-review.html,2022-04-28T16:18:57+0000,The New York Times
‘I Love America,nan,nan,nan,By Nicolas Rapold,‘I Love America’ Review: The Gauche Rituals of Modern Romance,"subject: Movies;persons: Marceau, Sophie;creative_works: I Love America (Movie);persons: Azuelos, Lisa;",291.0,The determinedly uplifting comedy follows a 50-year-old French filmmaker as she dates in Los Angeles.,https://www.nytimes.com/2022/04/28/movies/i-love-america-review.html,2022-04-28T11:00:07+0000,The New York Times
‘See You Then,nan,nan,nan,By Kyle Turner,‘See You Then’ Review: The More Things Stay the Same,"subject: Movies;creative_works: See You Then (Movie);persons: Walker, Mari;",300.0,"Former lovers reconnect, litigating the past and present, in this drama from Mari Walker.",https://www.nytimes.com/2022/04/18/movies/see-you-then-review.html,2022-04-18T11:00:03+0000,The New York Times
‘La Mami,nan,nan,nan,By Beandrea July,‘La Mami’ Review: Tough Love,"subject: Documentary Films and Programs;subject: Women and Girls;subject: Dancing;subject: Bars and Nightclubs;subject: Labor and Jobs;subject: Content Type: Personal Profile;glocations: Mexico City (Mexico);glocations: Mexico;creative_works: La Mami (Movie);persons: Garvin, Laura Herrero;",278.0,This documentary about the den mother of dancers at a Mexico City cabaret is vérité at its best.,https://www.nytimes.com/2022/04/07/movies/la-mami-review-tough-love.html,2022-04-07T11:00:04+0000,The New York Times
‘Love After Love,nan,nan,nan,By Claire Shaffer,‘Love After Love’ Review: Elegance Without a Center,"subject: Movies;organizations: MUBI Inc;persons: Hui, Ann;persons: Peng, Eddie (1982- );glocations: Hong Kong;creative_works: Love After Love (Movie);",292.0,Ann Hui’s World War II-era film is lovely to look at but lacks emotional depth and resonance.,https://www.nytimes.com/2022/03/17/movies/love-after-love-review.html,2022-03-17T11:00:12+0000,The New York Times
‘Deep Water,nan,nan,nan,By Jeannette Catsoulis,‘Deep Water’ Review: Love and Loathing in New Orleans,"subject: Movies;creative_works: Deep Water (Movie);persons: Affleck, Ben;persons: Lyne, Adrian;persons: de Armas, Ana;",534.0,An unhappy husband raises suspicions when his wife’s lovers begin to disappear.,https://www.nytimes.com/2022/03/17/movies/deep-water-review.html,2022-03-17T11:00:05+0000,The New York Times
‘Lucy and Desi,nan,nan,nan,By Natalia Winkelman,‘Lucy and Desi’ Review: Love in the Time of Television,"subject: Documentary Films and Programs;persons: Ball, Lucille;persons: ARNAZ, DESI;persons: Poehler, Amy;creative_works: Lucy and Desi (Movie);subject: Television;subject: Actors and Actresses;subject: Content Type: Personal Profile;",279.0,"This documentary, directed by Amy Poehler and about the dynamic duo behind “I Love Lucy,” favors the good times over the difficult ones.",https://www.nytimes.com/2022/03/03/movies/lucy-and-desi-review.html,2022-03-03T16:06:54+0000,The New York Times
‘Cyrano,nan,nan,nan,By A.O. Scott,‘Cyrano’ Review: Who Wrote the Book of Love?,"subject: Movies;creative_works: Cyrano (Movie);persons: Wright, Joe;persons: Dinklage, Peter;persons: Bennett, Haley;persons: Harrison, Kelvin Jr;persons: Berninger, Matt;persons: Besser, Carin;persons: Dessner, Aaron;persons: Schmidt, Erica (1975- );organizations: National, The (Music Group);",845.0,Peter Dinklage wields pen and sword in a musical adaptation of the durable French romance.,https://www.nytimes.com/2022/02/23/movies/cyrano-review.html,2022-02-24T00:36:54+0000,The New York Times
‘The In Between,nan,nan,nan,By Lena Wilson,‘The In Between’ Review: Love Never Dies,"persons: King, Joey;persons: Allen, Kyle (1994- );subject: Movies;persons: Posin, Arie;creative_works: The In Between (Movie);",285.0,A teenage girl thinks that her dead boyfriend’s spirit is reaching out from the Great Beyond.,https://www.nytimes.com/2022/02/11/movies/the-in-between-review.html,2022-02-11T08:00:06+0000,The New York Times
‘Book of Love,nan,nan,nan,By Natalia Winkelman,‘Book of Love’ Review: Lust (Eventually) in Translation,"subject: Movies;persons: Claflin, Sam;persons: Cal y Mayor, Analeine;creative_works: Book of Love (Movie);",269.0,"Unbeknown to the author of an uninspired romance novel, the book takes a sharp turn into erotic territory in its Spanish-language release.",https://www.nytimes.com/2022/02/04/movies/book-of-love-review.html,2022-02-04T05:01:04+0000,The New York Times
"‘Lingui, the Sacred Bonds",nan,nan,nan,By Manohla Dargis,"‘Lingui, the Sacred Bonds’ Review: Love, Ferocious and Limitless","subject: Movies;persons: Haroun, Mahamat-Saleh;creative_works: Lingui, the Sacred Bonds (Movie);",852.0,"In this electric liberation story from Chad, a mother struggles to protect her daughter’s future and finds both herself and a world of possibility.",https://www.nytimes.com/2022/02/03/movies/lingui-the-sacred-bonds-review.html,2022-02-03T19:21:56+0000,The New York Times
‘The Pink Cloud,nan,nan,nan,By Claire Shaffer,‘The Pink Cloud’ Review: Love in Lockdown,"subject: Movies;creative_works: The Pink Cloud (Movie);persons: Gerbase, Iuli;",316.0,Iuli Gerbase’s first feature film reflects a funhouse-mirror image of our present lives.,https://www.nytimes.com/2022/01/13/movies/the-pink-cloud-review.html,2022-01-13T12:00:05+0000,The New York Times
‘A Journal for Jordan,nan,nan,nan,By Lisa Kennedy,‘A Journal for Jordan’ Review: Reflections on Love Built and Lost,"subject: Movies;creative_works: A Journal for Jordan (Movie);persons: Washington, Denzel;persons: Jordan, Michael B;persons: Adams, Chante;subject: Books and Literature;creative_works: A Journal for Jordan: A Story of Love and Honor (Book);persons: Canedy, Dana;subject: Black People;subject: Blacks;",505.0,The actors Michael B. Jordan and Chanté Adams bring a compelling chemistry to the screen as opposites who fall for each other.,https://www.nytimes.com/2021/12/23/movies/a-journal-for-jordan-review.html,2021-12-23T18:54:12+0000,The New York Times
‘West Side Story,nan,nan,nan,By A.O. Scott,"‘West Side Story’ Review: In Love and War, 1957 Might Be Tonight","subject: Movies;subject: Theater;persons: Alvarez, David (1994- );persons: Bernstein, Leonard;persons: DeBose, Ariana;persons: Kushner, Tony;persons: Laurents, Arthur;persons: Peck, Justin;persons: Robbins, Jerome;persons: Sondheim, Stephen;persons: Spielberg, Steven;persons: Tesori, Jeanine;glocations: New York City;creative_works: West Side Story (2021) (Movie);",1316.0,"Steven Spielberg rediscovers the breathing, troubling essence of a classic, building a bold and current screen musical with no pretense to perfection.",https://www.nytimes.com/2021/12/08/movies/west-side-story-review.html,2021-12-08T14:55:30+0000,The New York Times
‘Aulcie,nan,nan,nan,By Natalia Winkelman,"‘Aulcie’ Review: Love and Basketball, in Israel","subject: Documentary Films and Programs;subject: Basketball;persons: Menkin, Dani;persons: Perry, Aulcie;creative_works: Aulcie (Movie);glocations: Israel;",259.0,"This melodramatic documentary chronicles how Aulcie Perry, a basketball center from New Jersey, became a celebrity in Israel after he joined the Maccabi Tel Aviv team.",https://www.nytimes.com/2021/11/16/movies/aulcie-review.html,2021-11-16T21:35:40+0000,The New York Times
‘Love Is Love Is Love,nan,nan,nan,By Teo Bugbee,‘Love Is Love Is Love’ Review: Aging Too Gracefully,"subject: Movies;persons: Coppola, Eleanor;persons: Arquette, Rosanna;persons: Shepherd, Cybill;persons: Wilson, Rita;creative_works: Love Is Love Is Love (Movie);",292.0,"The characters in this idle drama, directed by Eleanor Coppola, seem mostly content. That’s the problem.",https://www.nytimes.com/2021/11/11/movies/love-is-love-is-love-review.html,2021-11-11T12:00:06+0000,The New York Times
‘Love Hard,nan,nan,nan,By Concepción de León,"‘Love Hard’ Review: Seeking Connection, Not Perfection","subject: Movies;creative_works: Love Hard (Movie);persons: Jimenez, Hernan;",343.0,"When a perennially single journalist travels across the country to meet her dream guy, she finds she’s been catfished.",https://www.nytimes.com/2021/11/05/movies/love-hard-review.html,2021-11-05T07:01:03+0000,The New York Times
‘Bergman Island,nan,nan,nan,By A.O. Scott,‘Bergman Island’ Review: Love Among the Cinephiles,"subject: Movies;persons: Bergman, Ingmar;persons: Roth, Tim;persons: Wasikowska, Mia;persons: Hansen-Love, Mia;creative_works: Bergman Island (Movie);persons: Krieps, Vicky;",888.0,"In Mia Hansen-Love’s new film, Vicky Krieps and Tim Roth play filmmakers on the rocks in the Baltic Sea.",https://www.nytimes.com/2021/10/14/movies/bergman-island-review.html,2021-10-14T16:00:06+0000,The New York Times
‘Hard Luck Love Song,nan,nan,nan,By Glenn Kenny,‘Hard Luck Love Song’ Review: A Glossy Take on a Gritty Tune,"subject: Movies;persons: Dorman, Michael (1981- );creative_works: Hard Luck Love Song (Movie);persons: Bush, Sophia (1982- );",320.0,"Drawn from the plotline of a Todd Snider song, the film follows a pool shark and an escort, taking twists that are both violent and silly.",https://www.nytimes.com/2021/10/14/movies/hard-luck-love-song-review.html,2021-10-14T12:27:03+0000,The New York Times
‘South of Heaven,nan,nan,nan,By Amy Nicholson,‘South of Heaven’ Review: Anything for Love,"subject: Movies;persons: Sudeikis, Jason;persons: Lilly, Evangeline (1979- );persons: Keshales, Aharon;creative_works: South of Heaven (Movie);",323.0,Jason Sudeikis plays a paroled felon who vows to give his dying lover the best year of her life.,https://www.nytimes.com/2021/10/07/movies/south-of-heaven-review.html,2021-10-07T17:17:19+0000,The New York Times
‘Wife of a Spy,nan,nan,nan,By Glenn Kenny,‘Wife of a Spy’ Review: Trust or Fear in Love and War?,"subject: Movies;persons: Kurosawa, Kiyoshi;creative_works: Wife of a Spy (Movie);",448.0,"In this latest work by Kiyoshi Kurosawa, a Japanese couple’s relationship is shaped by the forces of churning nationalism that surround it.",https://www.nytimes.com/2021/09/16/movies/wife-of-a-spy-review-trust-or-fear-in-love-and-war.html,2021-09-16T11:00:07+0000,The New York Times
‘Happier Than Ever,nan,nan,nan,By Teo Bugbee,‘Happier Than Ever’ Review: Modern Pop Meets Classic Hollywood,"subject: Documentary Films and Programs;subject: Music;persons: Eilish, Billie;persons: Rodriguez, Robert;creative_works: Happier Than Ever: A Love Letter to Los Angeles (Movie);persons: Osborne, Patrick (Film Director);glocations: Los Angeles (Calif);",302.0,"In the Disney+ concert film “Happier Than Ever: A Love Letter to Los Angeles,” the pop star Billie Eilish pays tribute to the star-struck hauntedness of that city.",https://www.nytimes.com/2021/09/02/movies/happier-than-ever-review.html,2021-09-02T11:00:07+0000,The New York Times
‘Together,nan,nan,nan,By Jeannette Catsoulis,‘Together’ Review: Love and Loathing in London,"subject: Movies;creative_works: Together (Movie);persons: Daldry, Stephen;persons: McAvoy, James;persons: Horgan, Sharon (1970- );",412.0,Sharon Horgan and James McAvoy play a battling couple trapped in lockdown in this theatrical pandemic drama.,https://www.nytimes.com/2021/08/26/movies/together-review.html,2021-08-26T11:00:06+0000,The New York Times
‘Annette,nan,nan,nan,By A.O. Scott,‘Annette’ Review: Love Hurts,"subject: Movies;persons: Carax, Leos;persons: Cotillard, Marion;persons: Driver, Adam;persons: Mael, Ron;persons: Mael, Russell;creative_works: Annette (Movie);organizations: Sparks (Music Group);",1069.0,"Adam Driver and Marion Cotillard are star-crossed lovers in this hallucinatory musical, written by Sparks and directed by Leos Carax.",https://www.nytimes.com/2021/08/05/movies/annette-review.html,2021-08-05T11:00:07+0000,The New York Times
‘Resort to Love,nan,nan,nan,By Concepción de León,‘Resort to Love’ Review: A Struggling Singer in Paradise,"subject: Movies;persons: Milian, Christina;creative_works: Resort to Love (Movie);persons: Tsuchida, Steven;",310.0,"In this romantic comedy, a woman reeling from a failed engagement and a flailing career escapes to a glamorous island resort.",https://www.nytimes.com/2021/07/29/movies/resort-to-love-review.html,2021-07-29T11:00:07+0000,The New York Times
"‘Woodstock 99: Peace, Love and Rage",nan,nan,nan,By Elisabeth Vincentelli,"‘Woodstock 99: Peace, Love and Rage’ Review: How a Festival Went Wrong","subject: Documentary Films and Programs;persons: Price, Garret;creative_works: Woodstock 99: Peace, Love and Rage (Movie);subject: Woodstock Music Festivals;",418.0,An HBO documentary examines a music festival that went so far off the rails that it defined an era.,https://www.nytimes.com/2021/07/23/movies/woodstock-99-peace-love-and-rage-review.html,2021-07-23T11:00:05+0000,The New York Times
"‘Casanova, Last Love",nan,nan,nan,By Beatrice Loayza,"‘Casanova, Last Love’ Review: Reappraising a Philanderer","subject: Movies;persons: Jacquot, Benoit;creative_works: Casanova, Last Love (Movie);",312.0,Benoît Jacquot’s erotic costume drama envisions the Italian playboy as a weathered sad sack living in exile.,https://www.nytimes.com/2021/07/14/movies/casanova-last-love-review-reappraising-a-philanderer.html,2021-07-14T22:12:43+0000,The New York Times
‘Running Against the Wind,nan,nan,nan,By Beatrice Loayza,‘Running Against the Wind’ Review: Love and Friendship in Addis Ababa,"subject: Movies;creative_works: Running Against the Wind (Movie);persons: Weyl, Jan Philipp;",342.0,Two childhood best friends reunite in this unfocused yet uplifting sports drama by the filmmaker Jan Philipp Weyl.,https://www.nytimes.com/2021/07/08/movies/running-against-the-wind-review.html,2021-07-08T11:00:05+0000,The New York Times
‘Asia,nan,nan,nan,By Devika Girish,‘Asia’ Review: Tough Love and an Indecent Proposal,"subject: Movies;persons: Haas, Shira;persons: Pribar, Ruthy;persons: Yiv, Alena;",290.0,This drama about a young single mother and a terminally ill daughter avoids sentimentalism but indulges heavily in dourness.,https://www.nytimes.com/2021/06/10/movies/asia-review.html,2021-06-10T11:00:15+0000,The New York Times
‘Undine,nan,nan,nan,By Glenn Kenny,‘Undine’ Review: Love In and Out of the Water,"subject: Movies;persons: Petzold, Christian;persons: Rogowski, Franz;creative_works: Undine (Movie);persons: Beer, Paula (1995- );",535.0,"Paula Beer and Franz Rogowski, who made an impression in 2019’s “Transit,” are reunited by the director Christian Petzold for this adaptation of a European myth.",https://www.nytimes.com/2021/06/03/movies/undine-review.html,2021-06-03T11:00:08+0000,The New York Times
‘This Town,nan,nan,nan,By Devika Girish,‘This Town’ Review: Love and Rifles,"subject: Movies;creative_works: This Town (Movie);persons: White, David (Director);",287.0,This small-town comedy from New Zealand looks at the romance between a country girl and a man accused of killing his family.,https://www.nytimes.com/2021/05/20/movies/this-town-review.html,2021-05-20T20:19:17+0000,The New York Times
‘Tu Me Manques,nan,nan,nan,By Teo Bugbee,‘Tu Me Manques’ Review: Traces of a Lost Love,"subject: Movies;creative_works: Tu Me Manques (Movie);persons: Martinez, Oscar (1949- );persons: Barbosa, Fernando (Actor);persons: Bellott, Rodrigo;glocations: Bolivia;",301.0,A conservative father who could not accept his son’s sexuality is led on a contemplative tour of queer life in New York in this Bolivian film.,https://www.nytimes.com/2021/04/22/movies/tu-me-manques-review.html,2021-04-22T11:00:07+0000,The New York Times
‘Monday,nan,nan,nan,By Glenn Kenny,‘Monday’ Review: A Year of Love and Its Hangovers,"subject: Movies;persons: Papadimitropoulos, Argyris;persons: Stan, Sebastian;persons: Gough, Denise (1980- );creative_works: Monday (Movie);",349.0,"Fiery physical contact keeps an expat couple together in Greece, and the sex scenes are enough for a half-dozen movies.",https://www.nytimes.com/2021/04/15/movies/monday-review.html,2021-04-15T11:00:08+0000,The New York Times
‘Ride or Die,nan,nan,nan,By Natalia Winkelman,‘Ride or Die’ Review: Killing for Love,"subject: Movies;creative_works: Ride or Die (Movie);persons: Hiroki, Ryuichi;",338.0,"After upending her life, a woman runs away with her longtime crush in this puzzling Japanese drama.",https://www.nytimes.com/2021/04/15/movies/ride-or-die-review.html,2021-04-15T11:00:03+0000,The New York Times
‘Future People,nan,nan,nan,By Natalia Winkelman,"‘Future People’ Review: Connected by Biology, Bonded by Love","subject: Documentary Films and Programs;creative_works: Future People: The Family of Donor 5114 (Movie);subject: ARTIFICIAL INSEMINATION;subject: Children and Childhood;persons: Rothman, Michael (Filmmaker);",317.0,This documentary chronicles eight years in the lives of a group of children who form a bond after discovering they were conceived by the same sperm donor.,https://www.nytimes.com/2021/04/09/movies/future-people-review.html,2021-04-09T11:00:04+0000,The New York Times
‘Luz,nan,nan,nan,By Teo Bugbee,‘Luz’ Review: Love In and Out of Lockup,"subject: Movies;creative_works: Luz (Movie);persons: Garcia, Jon (1979- );",296.0,"In this romantic drama from Jon Garcia, two men find love in prison, then try to make it work on the outside.",https://www.nytimes.com/2021/03/18/movies/luz-review.html,2021-03-18T11:00:08+0000,The New York Times
‘Happily,nan,nan,nan,By Glenn Kenny,‘Happily’ Review: Does Long-Lived Love Mean You Need Treatment?,"subject: Movies;creative_works: Happily (Movie);persons: Grabinski, BenDavid;",344.0,"In this keeps-you-guessing comedy, Joel McHale and Kerry Bishé play a couple married for 14 years whose mutual passion is undimmed, to the annoyance of their friends.",https://www.nytimes.com/2021/03/18/movies/happily-review.html,2021-03-18T11:00:06+0000,The New York Times
‘This Is the Life,nan,nan,nan,By Robert Daniels,‘This Is the Life’ Review: A Valuable Part of Hip-Hop History,"subject: Documentary Films and Programs;subject: Rap and Hip-Hop;persons: DuVernay, Ava;subject: Black People;subject: Blacks;glocations: California;glocations: Los Angeles (Calif);creative_works: This Is the Life (Movie);",470.0,"Ava DuVernay’s 2008 documentary, now streaming on Netflix, is a personal love letter to a slice of Los Angeles’s 1990s hip-hop scene.",https://www.nytimes.com/2021/02/23/movies/this-is-the-life-review.html,2021-02-23T19:47:00+0000,The New York Times
‘To All the Boys: Always and Forever,nan,nan,nan,By Maya Phillips,‘To All the Boys: Always and Forever’ Review: Love Sweet Love,"subject: Movies;persons: Condor, Lana;persons: Fimognari, Michael;persons: Centineo, Noah;creative_works: To All the Boys: Always and Forever (Movie);",482.0,"This final installment of the Netflix rom-com trilogy is earnest, bright-eyed and without a hint of cynicism.",https://www.nytimes.com/2021/02/11/movies/to-all-the-boys-always-and-forever-review.html,2021-02-12T02:00:03+0000,The New York Times
‘Young Hearts,nan,nan,nan,By Kristen Yoonsoo Kim,‘Young Hearts’ Review: Movie Love by Algorithm,"subject: Movies;creative_works: Young Hearts (Movie);persons: Sherman, Sarah (Film Director);persons: Sherman, Zachary Ray (1984- );",324.0,"The brother and sister filmmakers Sarah Sherman and Zachary Ray Sherman deliver romance, unadorned.",https://www.nytimes.com/2021/02/11/movies/young-hearts-review.html,2021-02-11T12:00:06+0000,The New York Times
‘Little Fish,nan,nan,nan,By Kristen Yoonsoo Kim,‘Little Fish’ Review: Do You Remember Love?,"subject: Movies;creative_works: Little Fish (Movie);persons: Hartigan, Chad;",315.0,This sci-fi romance imagines a world with widespread memory loss through the eyes of one couple.,https://www.nytimes.com/2021/02/04/movies/little-fish-review.html,2021-02-04T12:00:06+0000,The New York Times
‘Two of Us,nan,nan,nan,By Beatrice Loayza,‘Two of Us’ Review: Thwarted Love,"subject: Movies;persons: Sukowa, Barbara;creative_works: Two of Us (Movie);persons: Meneghetti, Filippo;",313.0,An older lesbian couple is met with unexpected devastation in this aching romantic drama by Filippo Meneghetti.,https://www.nytimes.com/2021/02/04/movies/two-of-us-review-thwarted-love.html,2021-02-04T12:00:03+0000,The New York Times
‘Atlantis,nan,nan,nan,By Glenn Kenny,‘Atlantis’ Review: A Bleak Apocalypse Love Story,"subject: Movies;creative_works: Atlantis (Movie);persons: Vasyanovych, Valentyn;",320.0,"Ukraine’s official Oscar entry, the movie depicts an all-too-convincing dystopia, with no fancy gadgets or cars.",https://www.nytimes.com/2021/01/21/movies/atlantis-review-a-bleak-apocalypse-love-story.html,2021-01-21T12:00:06+0000,The New York Times
‘Preparations to Be Together,nan,nan,nan,By Beatrice Loayza,‘Preparations to Be Together’ Review: Mysteries of Love,"subject: Movies;creative_works: Preparations to Be Together for an Unknown Period of Time (Movie);persons: Horvat, Lili;",438.0,A neurosurgeon pursues the man of her dreams in this simmering portrait of obsession by the Hungarian filmmaker Lili Horvat.,https://www.nytimes.com/2021/01/21/movies/preparations-to-be-together-for-an-unknown-period-of-time-review.html,2021-01-21T12:00:03+0000,The New York Times
